Nom de l'établissement	Adresse	Site Web	Status
MAISON LUMALYS - Centre Spa & massage privatif	16 Rue Jean-mathieu 16330 La Boixe France	http://www.maisonlumalys.fr/	Traité
Eau'Spas	139 Chem. Vieux de Bérat 31410 Longages France		
TARANAE Bassin de flottaison, Infrathérapie, Massages, massage duo...	1 Rue de Bordé Basse 31240 L'Union France	https://www.taranae.fr/	Traité
Echap et vous - SPA - Esthétique - Sauna Japonais - Minceur - Head Spa	Midi-Pyrenees France FR 220 Rue des Écoles 31810 Vernet France	https://www.echapetvous.fr/	Traité
Salinea Spa	Bd des Thermes 31260 Salies-du-Salat France		
Ô Chalet Zen	8 Rue des Gentianes 39310 Lamoura France	https://o-chalet-zen.fr/	Traité
Les 3 Sources	LA 72 Grande Rue 39150 La Chaux-du-Dombief France	https://espaceles3sources.fr/	Traité
H85 SPA et centre de bien être	85 Chem. des Gameux 38160 Chatte France	http://www.h85spa.fr/	Traité
SPA TRIEVES Spa et massages	la Richardiere Hôtel Au Gai Soleil du Mont Aiguille 21 rue de la chapelle 38930 Chichilianne France	https://www.spa-trieves.fr/	Traité
Spa by la Cloche - MGallery GH La Cloche Dijon	14 Pl. Darcy 21000 Dijon France	https://www.hotel-lacloche.fr/spa	Traité
le Prieuré des Sources - le Spa Dijon	6 Pl. du Théâtre 21000 Dijon France	http://www.le-prieure-des-sources.com/	Traité
ELYA Studio Head Spa	2 Rle de la Cure 21110 Varanges France		
Sweetime Dijon - Centre de soins et bien-être, balnéothérapie-sauna, ondes de choc, magnétisme et réflexologie	2 Rue Armand Thibaut 21000 Dijon France	https://sweetime-dijon.fr/	Traité
Spa Holistique Marie de Bourgogne	27 Rue Jean François Maufoux 21200 Beaune France	https://www.spamariedebourgogne.com/fr/?utm_source=mybusiness&utm_medium=organic&utm_id=mybusinessorganic	Traité
Le Cube Massages & Spa Privatif • Vinésime • Bivouak • Minimaliste	10 Imp. des Prés Verts 21230 Jouey France	https://lecube-spa.com/	Traité
Spa des Vignes	513 route de Fleurie D32 71570 Romanèche-Thorins France	http://spadesvignes.com/	Traité
Spa Saint-Georges Sothys	32 Av. Jean Jaurès 71100 Chalon-sur-Saône France	https://www.le-saintgeorges.fr/	Traité
EXCILLANCE • Un Instant pour Soi	Les Lités Route Nationale 6 163 71570 Chaintré France	https://www.uninstantpour-soi.fr/	Traité
ONDINE - Head Spa Japonais et massages 71	Rue de la Cure 71150 Remigny France	https://linktr.ee/headspa.ondine	Traité
Spa Saint-Laurent	6 Rue de Strasbourg 71100 Chalon-sur-Saône France	https://www.spa-saintlaurent.fr/	Traité
Spa le temps présent	Rue du Moulin 71290 Cuisery France	http://www.spaletempspresent.fr/	Traité
OréVasion	69700 Échalas France		
Genas Plage	34 Rue Marcel Dassault 69740 Genas France	https://genas-plage.com/fr/	Traité
Bulles et detente	9 Rue du Champenâtre 25770 Serre-les-Sapins France	http://www.bulles-et-detente.fr/	Traité
Spa By Omnisens	5 Prom. Georges Godet 85100 Les Sables-d'Olonne France	https://app.kiute.com/atlantic-hotel/home	Traité
